 [2023-01-16 14:41:40,903] Pre-Condition - Step 01: Navigate to 'Register' Page
 [2023-01-16 15:34:10,754] Register - Step 02: Enter to Firstname textbox with value is 'long'
 [2023-01-16 15:34:10,974] Register - Step 03: Enter to Lastname textbox with value is 'qaba'
 [2023-01-16 15:34:11,216] Register - Step 04: Enter to Email textbox with value is 'automationFC88087@qa.team'
 [2023-01-16 15:34:11,472] Register - Step 05: Enter to Password textbox with value is '123456'
 [2023-01-16 15:34:11,678] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
 [2023-01-16 15:34:11,884] Register - Step 07: Click to 'Register' button
 [2023-01-16 15:34:13,038] Register - Step 08: Verify register success message is displayed
 [2023-01-16 15:34:13,150]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:34:13,368] Login - Step 01: Navigate to 'Login' Page
 [2023-01-16 15:34:14,002] Login - Step 02: Enter to Email textbox with value is 'automationFC88087@qa.team'
 [2023-01-16 15:34:14,219] Login - Step 03: Enter to Password textbox with value is '123456'
 [2023-01-16 15:34:14,408] Login - Step 04: Click to 'Login' button
 [2023-01-16 15:34:15,454] Login - Step 05: Verify 'My Account' link is displayed
 [2023-01-16 15:34:15,560]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:34:15,561] Login - Step 06: Navigate to 'My Account' Page
 [2023-01-16 15:34:16,352] Login - Step 07: Verify 'Customer Info' title is displayed
 [2023-01-16 15:34:16,432]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:35:53,958] Register - Step 01: Navigate to 'Register' Page
 [2023-01-16 15:35:55,299] Register - Step 02: Enter to Firstname textbox with value is 'long'
 [2023-01-16 15:35:55,535] Register - Step 03: Enter to Lastname textbox with value is 'qaba'
 [2023-01-16 15:35:55,749] Register - Step 04: Enter to Email textbox with value is 'automationFC13229@qa.team'
 [2023-01-16 15:35:56,002] Register - Step 05: Enter to Password textbox with value is '123456'
 [2023-01-16 15:35:56,225] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
 [2023-01-16 15:35:56,439] Register - Step 07: Click to 'Register' button
 [2023-01-16 15:35:57,526] Register - Step 08: Verify register success message is displayed
 [2023-01-16 15:35:57,647]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:35:57,866] Login - Step 01: Navigate to 'Login' Page
 [2023-01-16 15:35:58,507] Login - Step 02: Enter to Email textbox with value is 'automationFC13229@qa.team'
 [2023-01-16 15:35:58,747] Login - Step 03: Enter to Password textbox with value is '123456'
 [2023-01-16 15:35:58,950] Login - Step 04: Click to 'Login' button
 [2023-01-16 15:36:00,118] Login - Step 05: Verify 'My Account' link is displayed
 [2023-01-16 15:36:00,227]  -------------------------- PASSED -------------------------- 
 [2023-01-16 15:36:00,227] Login - Step 06: Navigate to 'My Account' Page
 [2023-01-16 15:36:01,360] Login - Step 07: Verify 'Customer Info' title is displayed
 [2023-01-16 15:36:01,444]  -------------------------- PASSED -------------------------- 
 [2023-01-16 17:52:27,616] Register - Step 01: Navigate to 'Register' Page
 [2023-01-16 17:52:28,534] Register - Step 02: Enter to Firstname textbox with value is 'long'
 [2023-01-16 17:52:28,746] Register - Step 03: Enter to Lastname textbox with value is 'qaba'
 [2023-01-16 17:52:28,982] Register - Step 04: Enter to Email textbox with value is 'automationFC78671@qa.team'
 [2023-01-16 17:52:29,248] Register - Step 05: Enter to Password textbox with value is '123456'
 [2023-01-16 17:52:29,404] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
 [2023-01-16 17:52:29,568] Register - Step 07: Click to 'Register' button
 [2023-01-16 17:52:30,391] Register - Step 08: Verify register success message is displayed
 [2023-01-16 17:52:30,503]  -------------------------- PASSED -------------------------- 
 [2023-01-16 17:52:30,748] Login - Step 01: Navigate to 'Login' Page
 [2023-01-16 17:52:31,327] Login - Step 02: Enter to Email textbox with value is 'automationFC78671@qa.team'
 [2023-01-16 17:52:31,540] Login - Step 03: Enter to Password textbox with value is '123456'
 [2023-01-16 17:52:31,744] Login - Step 04: Click to 'Login' button
 [2023-01-16 17:52:32,624] Login - Step 05: Verify 'My Account' link is displayed
 [2023-01-16 17:52:32,687]  -------------------------- PASSED -------------------------- 
 [2023-01-16 17:52:32,688] Login - Step 06: Navigate to 'My Account' Page
 [2023-01-16 17:52:34,112] Login - Step 07: Verify 'Customer Info' title is displayed
 [2023-01-16 17:52:34,190]  -------------------------- PASSED -------------------------- 
 [2023-02-01 14:58:17,823] Register - Step 01: Navigate to 'Register' Page
 [2023-02-01 14:58:19,202] Register - Step 02: Enter to Firstname textbox with value is 'long'
 [2023-02-01 14:58:19,475] Register - Step 03: Enter to Lastname textbox with value is 'qaba'
 [2023-02-01 14:58:19,645] Register - Step 04: Enter to Email textbox with value is 'automationFC14536@qa.team'
 [2023-02-01 14:58:19,930] Register - Step 05: Enter to Password textbox with value is '123456'
 [2023-02-01 14:58:20,129] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
 [2023-02-01 14:58:20,298] Register - Step 07: Click to 'Register' button
 [2023-02-01 14:58:21,114] Register - Step 08: Verify register success message is displayed
 [2023-02-01 14:58:21,219]  -------------------------- PASSED -------------------------- 
 [2023-02-01 14:58:21,456] Login - Step 01: Navigate to 'Login' Page
 [2023-02-01 14:58:22,044] Login - Step 02: Enter to Email textbox with value is 'automationFC14536@qa.team'
 [2023-02-01 14:58:22,322] Login - Step 03: Enter to Password textbox with value is '123456'
 [2023-02-01 14:58:22,511] Login - Step 04: Click to 'Login' button
 [2023-02-01 14:58:23,392] Login - Step 05: Verify 'My Account' link is displayed
 [2023-02-01 14:58:23,464]  -------------------------- PASSED -------------------------- 
 [2023-02-01 14:58:23,465] Login - Step 06: Navigate to 'My Account' Page
 [2023-02-01 14:58:23,914] Login - Step 07: Verify 'Customer Info' title is displayed
 [2023-02-01 14:58:23,999]  -------------------------- PASSED -------------------------- 
